striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
RR Powar,21,0.5,1.3333333333333333,0.238095238095238,0.0,0.7857142857142857,0.0403071017274472,0.8674954247199035,0.8253120522712538
S Sreesanth,2,0.5,0.0,0.0,0.0,0.0,0.0039840637450199,0.8674603909941628,0.8252787221172659
A Kumble,5,0.7,0.6,0.0,0.0,0.5,0.0099009900990099,0.867257655998158,0.8250858454393584
DL Vettori,1,1.0,0.0,0.0,1.0,-1.0,0.0019960079840319,0.8671958408763867,0.8250270361781719
NA Saini,8,0.5,1.125,0.125,0.0,0.625,0.0157480314960629,0.8670573155099799,0.8248952468324496
MF Maharoof,6,0.5,1.0,0.1666666666666666,0.1666666666666666,0.5,0.0118577075098814,0.8665318503538927,0.82439533327209
MC Henriques,32,0.578125,1.4375,0.15625,0.09375,0.796875,0.0601503759398496,0.8664757824794544,0.8243419917890107
VR Aaron,2,0.5,0.0,0.0,0.5,-0.25,0.0039840637450199,0.8664643750579079,0.8243311390718442
DR Sams,2,0.5,0.0,0.0,0.5,-0.25,0.0039840637450199,0.8664643750579079,0.8243311390718442
KC Sangakkara,4,0.5,0.75,0.0,0.25,0.25,0.0079365079365079,0.8660022148394241,0.8238914521437913
Sandeep Sharma,4,0.5,0.5,0.0,0.0,0.25,0.0079365079365079,0.8660022148394241,0.8238914521437913
Kuldeep Yadav,3,0.5,0.0,0.0,0.0,0.0,0.0059642147117296,0.8657358176522262,0.8236380089520229
MJ Santner,3,0.5,0.0,0.0,0.0,0.0,0.0059642147117296,0.8657358176522262,0.8236380089520229
Azmatullah Omarzai,14,0.5714285714285714,1.3571428571428572,0.1428571428571428,0.1428571428571428,0.6785714285714286,0.0272373540856031,0.8656908877024704,0.8235952637939682
C Green,66,0.5,1.4848484848484849,0.2121212121212121,0.0454545454545454,0.8257575757575758,0.1166077738515901,0.8656627496096639,0.8235684939615756
MK Lomror,36,0.5,1.5,0.1666666666666666,0.0833333333333333,0.7916666666666666,0.0671641791044776,0.865606560222145,0.8235150368741861
PJ Sangwan,2,0.5,0.0,0.0,1.0,-0.5,0.0039840637450199,0.8654683591216529,0.8233835560264225
JP Behrendorff,5,0.5,0.6,0.0,0.0,0.3,0.0099009900990099,0.865277457978356,0.8232019377609358
BB Samantray,12,0.5,1.1666666666666667,0.1666666666666666,0.0833333333333333,0.625,0.0234375,0.8651662427325582,0.8230961305369001
RP Singh,4,0.5,0.25,0.0,0.0,0.125,0.0079365079365079,0.8650101513473606,0.8229476293485499
MA Agarwal,107,0.6121495327102804,1.1962616822429906,0.1775700934579439,0.0467289719626168,0.8364485981308412,0.1762767710049423,0.8648519213823226,0.8227970935722737
K Kartikeya,7,0.5,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.0138067061143984,0.8648227145543783,0.8227693069737232
Musheer Khan,3,0.5,0.0,0.0,0.3333333333333333,-0.1666666666666666,0.0059642147117296,0.864741781866938,0.8226923097695146
JDP Oram,14,0.5,1.2857142857142858,0.1428571428571428,0.1428571428571428,0.6428571428571429,0.0272373540856031,0.864718125056556,0.8226698033099181
K Gowtham,10,0.5,1.1,0.1,0.1,0.55,0.0196078431372549,0.8646374829001366,0.8225930825091883
RN ten Doeschate,64,0.5234375,1.421875,0.1875,0.046875,0.8125,0.1134751773049645,0.8642998515586344,0.8222718690394385
Mohammad Asif,5,0.5,0.6,0.0,0.2,0.2,0.0099009900990099,0.864287358968455,0.8222599839217245
JP Duminy,11,0.8181818181818182,0.8181818181818182,0.0,0.1818181818181818,0.5454545454545454,0.0215264187866927,0.8639239066126609,0.8219142050263948
DJG Sammy,22,0.5,1.318181818181818,0.1363636363636363,0.0454545454545454,0.7045454545454546,0.0421455938697318,0.8639178472779114,0.8219084403366281
Mohammed Shami,7,0.5,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.3571428571428571,0.0138067061143984,0.8638365212604927,0.8218310689287495
Mandeep Singh,42,0.5,1.380952380952381,0.2142857142857142,0.0476190476190476,0.7738095238095238,0.077490774907749,0.8634042735776194,0.8214198399907331
JPR Scantlebury-Searles,5,0.5,0.4,0.0,0.2,0.1,0.0099009900990099,0.863297259958554,0.8213180300825133
Pankaj Singh,5,0.5,0.2,0.0,0.0,0.1,0.0099009900990099,0.863297259958554,0.8213180300825133
BJ Hodge,52,0.5,1.4038461538461535,0.173076923076923,0.0,0.7884615384615384,0.0942028985507246,0.8631614425345466,0.821188817001098
AS Rajpoot,7,0.5,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.0138067061143984,0.8628503279666071,0.8208928308837757
DS Kulkarni,21,0.5,1.238095238095238,0.1904761904761904,0.0952380952380952,0.6666666666666666,0.0403071017274472,0.8626969602285407,0.8207469209007962
Ravi Bishnoi,6,0.5,0.5,0.0,0.1666666666666666,0.1666666666666666,0.0118577075098814,0.8625792811839322,0.8206349641906538
PN Mankad,6,0.5,0.5,0.0,0.1666666666666666,0.1666666666666666,0.0118577075098814,0.8625792811839322,0.8206349641906538
CK Kapugedera,13,1.0,0.6153846153846154,0.0,0.0769230769230769,0.5384615384615384,0.0253411306042884,0.8625050999592003,0.8205643901483258
LA Pomersbach,27,0.5555555555555556,1.3333333333333333,0.1481481481481481,0.1111111111111111,0.7037037037037037,0.0512333965844402,0.8623626494859008,0.8204288665604017
Naveen-ul-Haq,5,0.5,0.2,0.0,0.2,0.0,0.0099009900990099,0.862307160948653,0.820376076243302
KA Jamieson,5,0.7,0.0,0.0,0.0,0.0,0.0099009900990099,0.862307160948653,0.820376076243302
